Version,Planet,Variable,Exponent,A,B,C
vsop87c,venus     ,z,5,     0.00000000004, 3.77138066766,   20426.57109242200
vsop87c,venus     ,z,5,     0.00000000042, 0.00000000000,       0.00000000000
vsop87c,venus     ,z,5,     0.00000000173, 2.05270625526,   10213.28554621100
vsop87c,venus     ,z,4,     0.00000000069, 2.32746005974,   20426.57109242200
vsop87c,venus     ,z,4,     0.00000000233, 3.14159265359,       0.00000000000
vsop87c,venus     ,z,4,     0.00000010192, 0.31526267335,   10213.28554621100
vsop87c,venus     ,z,3,     0.00000000005, 2.22179616897,    1577.34354244780
vsop87c,venus     ,z,3,     0.00000000007, 3.07196293928,   30639.85663863300
vsop87c,venus     ,z,3,     0.00000000008, 4.33056892256,   10404.73381232260
vsop87c,venus     ,z,3,     0.00000000018, 2.08106024829,    2352.86615377180
vsop87c,venus     ,z,3,     0.00000000018, 1.02002338896,   10988.80815753500
vsop87c,venus     ,z,3,     0.00000000019, 5.61164867192,    9437.76293488700
vsop87c,venus     ,z,3,     0.00000000020, 4.71416496562,   11790.62908865880
vsop87c,venus     ,z,3,     0.00000000042, 5.70731176550,   10239.58386601080
vsop87c,venus     ,z,3,     0.00000000057, 1.51447613604,   10186.98722641120
vsop87c,venus     ,z,3,     0.00000002002, 0.76147646688,   20426.57109242200
vsop87c,venus     ,z,3,     0.00000021639, 3.14159265359,       0.00000000000
vsop87c,venus     ,z,3,     0.00000467466, 4.99201374907,   10213.28554621100
vsop87c,venus     ,z,2,     0.00000000007, 4.31777952738,    3154.68708489560
vsop87c,venus     ,z,2,     0.00000000007, 4.98138067490,   10426.58464164900
vsop87c,venus     ,z,2,     0.00000000009, 5.04826725887,       7.11354700080
vsop87c,venus     ,z,2,     0.00000000010, 2.21224313590,   19367.18916223280
vsop87c,venus     ,z,2,     0.00000000009, 0.70904281096,    7860.41939243920
vsop87c,venus     ,z,2,     0.00000000009, 3.25236762648,    9103.90699411760
vsop87c,venus     ,z,2,     0.00000000014, 3.33582216202,    1059.38193018920
vsop87c,venus     ,z,2,     0.00000000023, 2.08236048283,    8635.94200376320
vsop87c,venus     ,z,2,     0.00000000020, 2.90919452314,    3128.38876509580
vsop87c,venus     ,z,2,     0.00000000021, 5.31579555879,     775.52261132400
vsop87c,venus     ,z,2,     0.00000000022, 2.31119555973,   18849.22754997420
vsop87c,venus     ,z,2,     0.00000000019, 5.15537838399,      26.29831979980
vsop87c,venus     ,z,2,     0.00000000025, 1.23260224812,   10021.83728009940
vsop87c,venus     ,z,2,     0.00000000020, 4.83254240300,    9830.38901398780
vsop87c,venus     ,z,2,     0.00000000025, 0.54239218952,   11015.10647733480
vsop87c,venus     ,z,2,     0.00000000024, 4.56262782130,   10742.97651130560
vsop87c,venus     ,z,2,     0.00000000029, 3.13488740448,    9411.46461508720
vsop87c,venus     ,z,2,     0.00000000028, 5.84340580032,   10220.39909321180
vsop87c,venus     ,z,2,     0.00000000028, 4.55053233088,    9999.98645077300
vsop87c,venus     ,z,2,     0.00000000035, 3.21932079821,   20618.01935853360
vsop87c,venus     ,z,2,     0.00000000032, 0.58444963462,   10206.17199921020
vsop87c,venus     ,z,2,     0.00000000041, 1.68366169373,     801.82093112380
vsop87c,venus     ,z,2,     0.00000000042, 2.36980390290,   14143.49524243060
vsop87c,venus     ,z,2,     0.00000000047, 4.80208170598,    7058.59846131540
vsop87c,venus     ,z,2,     0.00000000060, 2.73672115191,   19896.88012732740
vsop87c,venus     ,z,2,     0.00000000064, 5.23563988056,   10596.18207843420
vsop87c,venus     ,z,2,     0.00000000059, 3.28182139103,   11322.66409830440
vsop87c,venus     ,z,2,     0.00000000083, 5.29424644857,   13367.97263110660
vsop87c,venus     ,z,2,     0.00000000074, 4.57489383229,   15720.83878487840
vsop87c,venus     ,z,2,     0.00000000118, 2.56442724367,    9683.59458111640
vsop87c,venus     ,z,2,     0.00000000121, 1.25671231625,   22003.91463486980
vsop87c,venus     ,z,2,     0.00000000117, 2.16955801658,    6283.07584999140
vsop87c,venus     ,z,2,     0.00000000145, 5.41776609230,    5507.55323866740
vsop87c,venus     ,z,2,     0.00000000135, 6.00194499808,   19651.04848109800
vsop87c,venus     ,z,2,     0.00000000167, 0.70476486230,     529.69096509460
vsop87c,venus     ,z,2,     0.00000000208, 3.14696384347,   18073.70493865020
vsop87c,venus     ,z,2,     0.00000000281, 5.10638363837,    9153.90361602180
vsop87c,venus     ,z,2,     0.00000000277, 6.08171605083,    9437.76293488700
vsop87c,venus     ,z,2,     0.00000000324, 2.79347039249,   10404.73381232260
vsop87c,venus     ,z,2,     0.00000000356, 6.12814990238,   10988.80815753500
vsop87c,venus     ,z,2,     0.00000000468, 4.01105575472,    1577.34354244780
vsop87c,venus     ,z,2,     0.00000000438, 3.18384728320,   11790.62908865880
vsop87c,venus     ,z,2,     0.00000000569, 4.36593284769,   10239.58386601080
vsop87c,venus     ,z,2,     0.00000000573, 0.56552197979,    2352.86615377180
vsop87c,venus     ,z,2,     0.00000000592, 0.95308466065,   30639.85663863300
vsop87c,venus     ,z,2,     0.00000000850, 0.09737945971,   10186.98722641120
vsop87c,venus     ,z,2,     0.00000062577, 5.25189799706,   20426.57109242200
vsop87c,venus     ,z,2,     0.00000305549, 0.00000000000,       0.00000000000
vsop87c,venus     ,z,2,     0.00016179656, 3.38519723238,   10213.28554621100
vsop87c,venus     ,z,1,     0.00000000014, 5.04938942644,    6681.22485339960
vsop87c,venus     ,z,1,     0.00000000013, 0.74065551442,   24356.78078864160
vsop87c,venus     ,z,1,     0.00000000017, 3.76162101633,   10251.31321884680
vsop87c,venus     ,z,1,     0.00000000017, 2.59067946967,   10175.25787357520
vsop87c,venus     ,z,1,     0.00000000017, 2.88410168794,   16496.36139620240
vsop87c,venus     ,z,1,     0.00000000024, 0.40689057274,   10497.14486507620
vsop87c,venus     ,z,1,     0.00000000024, 5.94541303751,    9929.42622734580
vsop87c,venus     ,z,1,     0.00000000027, 4.63672266528,    3340.61242669980
vsop87c,venus     ,z,1,     0.00000000028, 0.89703139186,    8094.52168583260
vsop87c,venus     ,z,1,     0.00000000022, 3.33096598037,   20452.86941222180
vsop87c,venus     ,z,1,     0.00000000027, 1.23709297168,   33019.02111220460
vsop87c,venus     ,z,1,     0.00000000029, 0.47911260035,    1589.07289528380
vsop87c,venus     ,z,1,     0.00000000031, 6.15462442323,   29088.81141598500
vsop87c,venus     ,z,1,     0.00000000036, 3.22618486892,   49515.38250840700
vsop87c,venus     ,z,1,     0.00000000031, 1.20392434392,   12592.45001978260
vsop87c,venus     ,z,1,     0.00000000034, 4.19685270992,   13341.67431130680
vsop87c,venus     ,z,1,     0.00000000032, 5.03769459810,     536.80451209540
vsop87c,venus     ,z,1,     0.00000000039, 1.26146315948,   32217.20018108080
vsop87c,venus     ,z,1,     0.00000000032, 5.31625288376,    3149.16416058820
vsop87c,venus     ,z,1,     0.00000000036, 5.94006075380,   21202.09370374600
vsop87c,venus     ,z,1,     0.00000000034, 3.92659473780,    4732.03062734340
vsop87c,venus     ,z,1,     0.00000000040, 5.52599682847,     522.57741809380
vsop87c,venus     ,z,1,     0.00000000051, 1.70380845885,     426.59819087600
vsop87c,venus     ,z,1,     0.00000000053, 1.80084365566,   45585.17281218740
vsop87c,venus     ,z,1,     0.00000000040, 3.85673830469,   11272.66747640020
vsop87c,venus     ,z,1,     0.00000000039, 6.15465517048,   20400.27277262220
vsop87c,venus     ,z,1,     0.00000000044, 4.12172817384,   27511.46787353720
vsop87c,venus     ,z,1,     0.00000000056, 2.35632004464,    9103.90699411760
vsop87c,venus     ,z,1,     0.00000000055, 6.20318924174,   18837.49819713819
vsop87c,venus     ,z,1,     0.00000000048, 0.21226498407,   29050.78374334920
vsop87c,venus     ,z,1,     0.00000000057, 0.62155717729,   41654.96311596780
vsop87c,venus     ,z,1,     0.00000000056, 2.00173927326,   10228.53801739600
vsop87c,venus     ,z,1,     0.00000000062, 3.04943681345,   28286.99048486120
vsop87c,venus     ,z,1,     0.00000000052, 3.49206526650,   21535.94964451540
